timestamp,vehicle_id,x,y,vType,speed,angle,acceleration,lane_id,edge_id
0.05,flow_east_to_south.0,824.523488758128,188.0972437371537,vehicle.audi.a2,14.858279999999999,265.452472187528,0.0,-4_4,-4
0.05,flow_east_to_west.0,823.933488758128,195.47724373715369,vehicle.audi.a2,18.421764,265.452472187528,0.0,-4_2,-4
0.05,flow_north_south_car.0,697.5447013529005,325.6386938744578,vehicle.audi.a2,18.9528,176.4761588307384,0.0,1_1,1
0.05,flow_south_north_car.0,736.4749809254887,67.85116752920175,vehicle.audi.a2,16.776804,356.47127255937465,0.0,-0_1,-0
0.05,flow_west_to_east.0,561.828609375206,154.00836109195885,vehicle.audi.a2,18.698904,85.52067752100064,0.0,5#3_1,5#3
0.1,flow_east_to_south.0,823.7838888114104,188.038418607884,vehicle.audi.a2,14.839059037768951,265.45247218752786,-0.38441924462095045,-4_4,-4
0.1,flow_east_to_west.0,823.015784341418,195.4042528166109,vehicle.audi.a2,18.41248107063471,265.45247218752786,-0.18565858730582363,-4_2,-4
0.1,flow_north_south_car.0,697.6029335796983,324.6930630122758,vehicle.audi.a2,18.94891785255256,176.4761588307384,-0.077642948948764,1_1,1
0.1,flow_south_north_car.0,736.4234432692992,68.68692370009566,vehicle.audi.a2,16.74781521471496,356.47127255937636,-0.5797757057007402,-0_1,-0
0.1,flow_west_to_east.0,562.7587742479765,154.08122889744925,vehicle.audi.a2,18.652202022851814,85.52067752100106,-0.9340395429637027,5#3_1,5#3
0.15,flow_east_to_south.0,823.0435441240822,187.9795342446151,vehicle.audi.a2,14.854001237178657,265.45247218752826,0.29884398819412183,-4_4,-4
0.15,flow_east_to_west.0,822.1004669448428,195.33145175109533,vehicle.audi.a2,18.364588783916584,265.45247218752826,-0.9578457343624791,-4_2,-4
0.15,flow_north_south_car.0,697.6610284431963,323.7496627873668,vehicle.audi.a2,18.904219478022725,176.4761588307384,-0.8939674905967365,1_1,1
0.15,flow_south_north_car.0,736.3719344293472,69.52221257484024,vehicle.audi.a2,16.73845101277157,356.47127255937636,-0.18728403886782985,-0_1,-0
0.15,flow_west_to_east.0,563.6894963680418,154.1541403569076,vehicle.audi.a2,18.66337626671502,85.52067752100048,0.22348487726411292,5#3_1,5#3
0.2,flow_east_to_south.0,822.3036351714495,187.92068453812234,vehicle.audi.a2,14.845258817847556,265.45247218752826,-0.17484838662202407,-4_4,-4
0.2,flow_east_to_west.0,821.1827228065843,195.25845767124292,vehicle.audi.a2,18.413278029051177,265.452472187528,0.973784902691861,-4_2,-4
0.2,flow_north_south_car.0,697.71911123253,322.8064586343428,vehicle.audi.a2,18.900290513571537,176.47615883073837,-0.07857928902375022,1_1,1
0.2,flow_south_north_car.0,736.3203476347029,70.35876559545343,vehicle.audi.a2,16.763783379015972,356.47127255937636,0.5066473248880499,-0_1,-0
0.2,flow_west_to_east.0,564.6201293006568,154.2270448295467,vehicle.audi.a2,18.66158782856855,85.52067752100092,-0.03576876292939346,5#3_1,5#3
0.25,flow_east_to_south.0,821.5638584450212,187.861845348428,vehicle.audi.a2,14.842605880322138,265.45247218752826,-0.05305875050837017,-4_4,-4
0.25,flow_east_to_west.0,820.2657407460644,195.1855242043228,vehicle.audi.a2,18.397987983934616,265.452472187528,-0.30580090233122803,-4_2,-4
0.25,flow_north_south_car.0,697.777344209614,321.86081558829375,vehicle.audi.a2,18.949161997604836,176.47615883073837,0.9774296806659777,1_1,1
0.25,flow_south_north_car.0,736.268733393686,71.19576369791297,vehicle.audi.a2,16.772702425955092,356.47127255937636,0.17838093878239647,-0_1,-0
0.25,flow_west_to_east.0,565.5498071887715,154.2998744853454,vehicle.audi.a2,18.642436725918337,85.52067752100048,-0.38302205300425385,5#3_1,5#3
0.3,flow_east_to_south.0,820.8239684069249,187.8029971463297,vehicle.audi.a2,14.844879323604022,265.45247218752826,0.04546886563769448,-4_4,-4
0.3,flow_east_to_west.0,819.3495894318398,195.1126568119859,vehicle.audi.a2,18.381320198361095,265.45247218752786,-0.33335571147041776,-4_2,-4
0.3,flow_north_south_car.0,697.835436489175,320.91745732383856,vehicle.audi.a2,18.903378658180312,176.4761588307384,-0.9156667884904834,1_1,1
0.3,flow_south_north_car.0,736.2172472715204,72.03068417154046,vehicle.audi.a2,16.731068579893787,356.47127255937636,-0.8326769212261098,-0_1,-0
0.3,flow_west_to_east.0,566.4820085164864,154.37290182384672,vehicle.audi.a2,18.69303819087534,85.52067752100092,1.0120292991400248,5#3_1,5#3
0.35,flow_east_to_south.0,820.0853671945894,187.74425145281361,vehicle.audi.a2,14.819020801523205,265.45247218752843,-0.5171704416163436,-4_4,-4
0.35,flow_east_to_west.0,818.431530583148,195.03963770119344,vehicle.audi.a2,18.41959226247043,265.452472187528,0.765441282186714,-4_2,-4
0.35,flow_north_south_car.0,697.893569852856,319.9734318959577,vehicle.audi.a2,18.91674753757515,176.47615883073837,0.2673775878967888,1_1,1
0.35,flow_south_north_car.0,736.1656592087666,72.86725775634608,vehicle.audi.a2,16.76419546726206,356.47127255937636,0.6625377473654481,-0_1,-0
0.35,flow_west_to_east.0,567.4127617657297,154.44581572192098,vehicle.audi.a2,18.664000486929105,85.52067752100092,-0.5807540789246701,5#3_1,5#3
0.4,flow_east_to_south.0,819.347901210892,187.68559605131512,vehicle.audi.a2,14.796243995146565,265.45247218752786,-0.4555361275328096,-4_4,-4
